Product Name,Product Type,Price,Rating,Reviews
Boss | Matte Lip Kit,Lip Kits,$29.00,4.8 star rating,196 Reviews
Boss | Matte Lipstick,Lip Kits,$17.00,4.8 star rating,68 Reviews
Private Island | High Gloss,Lip Kits,$16.00,4.3 star rating,66 Reviews
Leave Him On Red | Matte Lip Kit,Lip Kits,$29.00,4.7 star rating,29 Reviews
Risqué | Matte Lip Kit,Lip Kits,$29.00,4.6 star rating,43 Reviews
Don't Trip | Matte Lip Kit,Lip Kits,$29.00,4.4 star rating,71 Reviews
Lip Set Bundle,Lip Kits,"$105.00
$108.00",4.6 star rating,16 Reviews
You Glow Girl Lip Trio | Lip Set,Lip Kits,$36.00,4.2 star rating,77 Reviews
1 of a Kind Lip Trio | Lip Set,Lip Kits,$36.00,3.7 star rating,33 Reviews
Lovestruck Lip Trio | Lip Set,Lip Kits,$36.00,4.5 star rating,76 Reviews
Nude Lip Blush Bundle,Lip Kits,$104.00,4.8 star rating,17 Reviews
Nude Attitude | Lip Blush Kit,Lip Kits,$26.00,4.5 star rating,53 Reviews
Au Naturel | Lip Blush Kit,Lip Kits,$26.00,4.2 star rating,51 Reviews
Do You Boo | Lip Blush Kit,Lip Kits,$26.00,4.4 star rating,72 Reviews
Heaven Sent | Lip Blush Kit,Lip Kits,$26.00,4.0 star rating,42 Reviews
Can I Borrow That? | High Gloss,Lip Kits,$16.00,4.3 star rating,104 Reviews
Handbag Ho | Matte Lip Kit,Lip Kits,$29.00,3.9 star rating,145 Reviews
Perfect Kiss | High Gloss,Lip Kits,$16.00,4.5 star rating,46 Reviews
Stuck on You | High Gloss,Lip Kits,$16.00,3.8 star rating,34 Reviews
Wish Come True | High Gloss,Lip Kits,$16.00,4.5 star rating,57 Reviews
Lipstick Kit Bundle,Lip Kits,"$136.00
$156.00",4.8 star rating,15 Reviews
Koko K | Lipstick Kit,Lip Kits,$26.00,4.4 star rating,39 Reviews
Kylie | Lipstick Kit,Lip Kits,$26.00,4.0 star rating,58 Reviews
Girls Trip | Lipstick Kit,Lip Kits,$26.00,4.4 star rating,101 Reviews
Fall In Love Lipstick Kit,Lip Kits,$26.00,4.4 star rating,41 Reviews
Rendezvous | Lipstick Kit,Lip Kits,$26.00,4.1 star rating,23 Reviews
Blushing Babe | Lipstick Kit,Lip Kits,$26.00,4.5 star rating,16 Reviews
Kylie | Velvet Lip Kit,Lip Kits,$27.00,3.9 star rating,99 Reviews
Cherry on Top | Lip Blush,Lip Kits,$16.00,4.3 star rating,64 Reviews
I'm Blushing | Lip Blush,Lip Kits,$16.00,4.5 star rating,100 Reviews
Butterfly | Lip Blush,Lip Kits,$16.00,4.6 star rating,73 Reviews
Sweet | High Gloss,Lip Kits,$16.00,4.7 star rating,87 Reviews
Story of Us | High Gloss,Lip Kits,$16.00,4.8 star rating,44 Reviews
Blow Me Away | High Gloss,Lip Kits,$16.00,4.6 star rating,68 Reviews
You are a Gem | Lip Liner,Lip Kits,$12.00,4.8 star rating,52 Reviews
Forever and Always | Lip Liner,Lip Kits,$12.00,4.7 star rating,48 Reviews
Beau | Lip Liner,Lip Kits,$12.00,4.8 star rating,10 Reviews
Built to Last | Matte Liquid Lipstick,Lip Kits,$17.00,4.6 star rating,58 Reviews
Wish You Were Here | Matte Liquid Lipstick,Lip Kits,$17.00,4.7 star rating,62 Reviews
Call Me | Matte Liquid Lipstick,Lip Kits,$17.00,4.5 star rating,55 Reviews
Bikini Bod | Lip Blush,Lip Kits,$16.00,4.7 star rating,185 Reviews
Posie K | Velvet Lip Kit,Lip Kits,$27.00,4.4 star rating,124 Reviews
Bare | Matte Lip Kit,Lip Kits,$29.00,4.4 star rating,161 Reviews
Snow Way Bae | Matte Lip Kit,Lip Kits,$29.00,4.7 star rating,114 Reviews
Better Not Pout | Matte Lip Kit,Lip Kits,$29.00,4.5 star rating,116 Reviews
Sweater Weather | Matte Lip Kit,Lip Kits,$29.00,4.5 star rating,124 Reviews
Mind Ya Business | Velvet Lip Kit,Lip Kits,$27.00,4.6 star rating,82 Reviews
Bad Lil Thing | Matte Lip Kit,Lip Kits,$29.00,4.5 star rating,82 Reviews
Extraordinary | Matte Lip Kit,Lip Kits,$29.00,4.6 star rating,109 Reviews
Crystal | High Gloss,Lip Kits,$16.00,4.7 star rating,259 Reviews
I'm the Catch | High Gloss,Lip Kits,$16.00,4.8 star rating,62 Reviews
Slept On | High Gloss,Lip Kits,$16.00,4.6 star rating,126 Reviews
Lost Angel | High Gloss,Lip Kits,$16.00,4.7 star rating,151 Reviews
My Moon & Stars | High Gloss,Lip Kits,$16.00,4.8 star rating,125 Reviews
Valentine | Matte Lip Kit,Lip Kits,"$15.00
$29.00",4.6 star rating,131 Reviews
Bite Me | Matte Lip Kit,Lip Kits,$29.00,4.7 star rating,211 Reviews
Dirty Rose | Lip Liner,Lip Kits,$12.00,4.6 star rating,36 Reviews
